Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
15;1001315;;Покупка недвижимости/ строительство;0;;женский;1;0;Высшее/Второе высшее/Ученая степень;другое;;0;103;42;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001335;Поступление зарплаты на счет;Ремонт;1;0.59;мужской;1;0;высшее;специалист;>250;0;72;33;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001355;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.49;мужской;1;0;среднее-специальное;менеджер среднего звена;>250;0;19;43;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0.2;1;4;40;5;0;0;19;90;0;0;0;0;0;0;0
15;1001375;2НДФЛ;Ремонт;0;0.38;женский;0;0;высшее;специалист;>250;0;97;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001395;Поступление зарплаты на счет;Покупка бытовой техники;1;0.27;мужской;0;0;высшее;рабочий;>250;0;36;29;Информационные технологии;ООО;холост / не замужем;1;0;0;0;0;0.4128440367;0;0;0;0;0.3333333333;1;2;64;3;0;0;16;68;1;1;1;1;1;1;1
15;1001415;Свободная форма с печатью работодателя;Ремонт;1;0.25;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001435;Форма банка (без печати работодателя);Покупка автомобиля;0;0.21;мужской;0;0;высшее;специалист;>250;0;38;29;Другое;ОАО;холост / не замужем;0;0;0;0;0;0.0365853659;0;0;0;0;0.5;1;1;79;2;0;1;40;40;1;0;0;0;0;0;0
15;1001455;2НДФЛ;Покупка автомобиля;0;0.42;мужской;0;0;среднее-специальное;рабочий;>250;0;225;53;Торговля;ЗАО;женат / замужем;1;1;0;0;0;0.0980392157;0;0;0;0;0.25;1;3;46;4;1;3;10;78;1;0;0;0;0;0;0
15;1001475;2НДФЛ;Ремонт;1;0.45;женский;2;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001495;Поступление зарплаты на счет;Покупка автомобиля;1;0.48;мужской;2;0;высшее;торговый представитель;>250;0;42;35;Другое;ОАО;женат / замужем;1;1;1;0;0;0;0;1;0;0;0.5;2;2;14;4;1;0;3;21;0;0;0;0;0;0;0
15;1001515;Поступление зарплаты на счет;Ремонт;1;0.53;женский;0;0;незаконченное высшее;вспомогательный персонал;>250;1;12;26;Информационные технологии;ООО;гражданский брак;1;1;0;0;0;0.3413173653;0;1;0;0;0.5;4;4;110;8;1;0;4;53;1;1;1;1;0;0;0
15;1001535;Форма банка (без печати работодателя);Лечение;1;0.29;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0;81;46;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001555;2НДФЛ;Покупка недвижимости/ строительство;0;0.53;женский;0;0;высшее;специалист;>250;3;337;50;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001575;Форма банка (без печати работодателя);Ремонт;0;0.49;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;35;40;Другое;ООО;холост / не замужем;2;1;0;0;0;0.119266055;0;1;0;0;0.5714285714;4;3;96;7;0;1;2;53;1;0;0;0;0;0;0
15;1001595;Форма банка (без печати работодателя);Ремонт;1;0.2;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;145;45;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001615;Форма банка (без печати работодателя);Ремонт;1;0.28;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001635;Поступление зарплаты на счет;Ремонт;1;0.34;женский;0;0;среднее;вспомогательный персонал;>250;0;17;26;Торговля;ООО;холост / не замужем;2;0;0;0;0;0;0;1;1;0;1;1;0;4;1;0;0;2;2;0;0;0;0;0;0;0
15;1001655;2НДФЛ;Ремонт;1;0.49;мужской;1;0;среднее;вспомогательный персонал;>250;0;87;38;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
